Name,Income,Income_bracket,equity,home_value,replacement_cost,repair_cost,repair_time,insurance
HH71,103583,Moderate,794334,794334,556033.8,207328.879341641,67.1167800977122,False
HH72,124400,High,470541,784235,548964.5,79675.1716638397,26.1246964047605,False
HH73,94637,Moderate,567198,630220,315110,40834.4255731138,23.3258119487179,False
HH74,88223,Moderate,226412,452824,271694.4,84673.3828524023,56.0968827971147,False
HH75,60098,Low,505068.8,631336,315668,37940.0996362483,21.6341787400836,True
HH76,103920,Moderate,798591.6,887324,621126.8,464108.235537652,134.496663800012,False
HH77,131300,High,511542.4,639428,383656.8,277438.949583404,130.165843339706,False
HH78,105013,Moderate,491291,491291,245645.5,50428.4024766788,36.9520811323724,True
HH79,65802,Low,265147.6,662869,397721.4,122513.031347075,55.4467163257332,True
HH80,54006,Low,198757.5,662525,463767.5,108910.638315636,42.2709976374248,True
HH81,96758,Moderate,91922,459610,275766,53405.6426548553,34.8593215910371,True
HH82,119614,Moderate,224758.2,374597,187298.5,13865.0120910863,13.3247312519616,False
HH83,116810,Moderate,337922,675844,473090.8,232010.608858463,88.2746178841847,False
HH84,136775,High,179117.5,358235,143294,54961.5494693818,69.0404267065525,False
HH85,106283,Moderate,416942,833884,500330.4,169112.590557726,60.8403293111726,True
HH86,133880,High,365807.7,406453,162581.2,144267.561879879,159.724255562009,True
HH87,132201,High,353236,706472,423883.2,102122.262839357,43.3657368612021,True
HH88,85157,Moderate,137139.3,457131,228565.5,171373.767969535,134.960342809901,True
HH89,144686,High,714908,714908,500435.6,430416.3334488,154.81500520903,True
HH90,75949,Low,377008.2,628347,439842.9,414104.2641088,169.466797212332,True
HH91,110503,Moderate,258195.2,645488,387292.8,283759.118262621,131.881205349729,False
HH92,86609,Moderate,220463.4,734878,440926.8,33350.0588868984,13.6145287599704,False
HH93,147746,High,281854,563708,225483.2,83747.9026590227,66.8547478420747,True
HH94,78380,Low,155390.8,388477,233086.2,147875.734605637,114.196517121196,True
HH95,80386,Moderate,144758.8,723794,289517.6,87232.4780270375,54.2345130136018,True
HH96,71149,Low,118528.4,592642,237056.8,210743.96293803,160.020355158955,False
HH97,57639,Low,422652,845304,422652,403997.631200866,172.055434769399,True
HH98,78422,Low,317407.8,529013,370309.1,159836.845039876,77.6935595349335,True
HH99,121235,High,64891.8,324459,227121.3,58541.8085997326,46.3960251546283,False
HH100,104350,Moderate,182316.9,607723,425406.1,122571.990565008,51.863286167503,False
